"행정구역","2023년09월_남자 평균연령","2023년09월_여자 평균연령","2023년09월_평균연령"
"부산광역시  (2600000000)","45.2","47.7","46.5"
"부산광역시 중구 (2611000000)","49.8","52.5","51.2"
"부산광역시 서구 (2614000000)","48","50.7","49.4"
"부산광역시 동구 (2617000000)","48.3","51.4","49.9"
"부산광역시 영도구 (2620000000)","49.7","53.3","51.5"
"부산광역시 부산진구 (2623000000)","45.1","47.2","46.2"
"부산광역시 동래구 (2626000000)","44.1","46.6","45.4"
"부산광역시 남구 (2629000000)","45","47.8","46.4"
"부산광역시 북구 (2632000000)","45.3","47.9","46.6"
"부산광역시 해운대구 (2635000000)","44.5","47.2","45.9"
"부산광역시 사하구 (2638000000)","45.8","48.5","47.1"
"부산광역시 금정구 (2641000000)","46.3","49.4","47.9"
"부산광역시 강서구 (2644000000)","39.5","40.5","40"
"부산광역시 연제구 (2647000000)","45.3","47.5","46.4"
"부산광역시 수영구 (2650000000)","45.8","48.3","47.1"
"부산광역시 사상구 (2653000000)","46.3","48.6","47.5"
"부산광역시 기장군 (2671000000)","42","44.4","43.2"
